experiment,split,best_val_acc,test_accuracy,macro_f1,weighted_f1,roc_auc,metrics_path
resnet18_unfrozen_from_frozen_lr1e-4_128_e8,test,0.9655172413793104,0.9616858237547893,0.9616858237547893,0.9616858237547893,0.9944216908148735,/Users/littleotter/Desktop/I242BProject/result/evaluation/resnet18_unfrozen_from_frozen_lr1e-4_128_e8/test_20260508_104533/metrics.json
resnet18_layer4_from_frozen_lr3e-5_128_e8,test,0.9540229885057472,0.9406130268199234,0.9406075776538856,0.9406075776538856,0.9849679247221856,/Users/littleotter/Desktop/I242BProject/result/evaluation/resnet18_layer4_from_frozen_lr3e-5_128_e8/test_20260508_104208/metrics.json
resnet18_unfrozen_from_frozen_lr3e-5_128_e8,test,0.9597701149425288,0.9406130268199234,0.9406075776538856,0.9406075776538856,0.9844541330867134,/Users/littleotter/Desktop/I242BProject/result/evaluation/resnet18_unfrozen_from_frozen_lr3e-5_128_e8/test_20260507_181648/metrics.json
resnet18_unfrozen_from_frozen_lr1e-5_128_e8,test,0.9406130268199234,0.9310344827586207,0.9310304329315736,0.9310304329315736,0.9780684370458449,/Users/littleotter/Desktop/I242BProject/result/evaluation/resnet18_unfrozen_from_frozen_lr1e-5_128_e8/test_20260508_104353/metrics.json
resnet18_pretrained_frozen_128_e5,test,0.8563218390804598,0.8697318007662835,0.8697318007662835,0.8697318007662835,0.934425507552737,/Users/littleotter/Desktop/I242BProject/result/evaluation/resnet18_pretrained_frozen_128_e5/test_20260506_180249/metrics.json
simple_cnn_supcon_finetune_128_e5,test,0.8084291187739464,0.8045977011494253,0.8033244680851064,0.8033244680851064,0.8813288119669411,/Users/littleotter/Desktop/I242BProject/result/evaluation/simple_cnn_supcon_finetune_128_e5/test_20260506_180249/metrics.json
simple_cnn_128_e5,test,0.7988505747126436,0.8026819923371648,0.8026754748142031,0.8026754748142031,0.8869071211520678,/Users/littleotter/Desktop/I242BProject/result/evaluation/simple_cnn_128_e5/test_20260506_180249/metrics.json
